assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_057379165.1	SAMN59518385	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_000372385.1	SAMN02256507	Corynebacterium ciconiae DSM 44920	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Ciconia nigra	36241		healthy	healthy/no disease reported	lower respiratory tract/bronch/pleural cavity	clinical/host-associated material	
GCA_003994175.1	SAMN03382537	Brucella suis bv. 1	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos grunniens	30521		diseased	diseased		clinical/host-associated material	DNA extract
GCA_044470665.1	SAMN44011814	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	feces/stool
GCA_036763495.1	SAMN39962202	Providencia stuartii	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	blood
GCA_036763525.1	SAMN39962201	Providencia stuartii	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		diseased	diseased	lower respiratory tract/bronch/pleural cavity	clinical fluid/material	
GCA_051894355.1	SAMN45100586	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_050972465.1	SAMN44584109	Bordetella pertussis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasal cavity/sinus/upper respiratory tract	clinical/host-associated material	nasal swab
GCA_001637735.1	SAMN02949655	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported			feces/stool
GCA_011945545.1	SAMN11658266	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_020312375.1	SAMN11785136	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_024271335.1	SAMN27959364	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_033330765.1	SAMN33700717	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_033333735.1	SAMN33700569	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_033334735.1	SAMN33700517	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_033335755.1	SAMN33700466	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_014069095.1	SAMN11056446	Acinetobacter radioresistens	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	skin/body surface	clinical/host-associated material	
GCA_018082405.1	SAMN18758499	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_018278525.1	SAMN19011023	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_018279625.1	SAMN19011059	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_026152175.1	SAMN31538074	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Sus scrofa domesticus	9825		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_018908015.1	SAMEA5849347	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_026158515.1	SAMN30260634	Streptococcus mitis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	blood
GCA_020388785.1	SAMN19550042	Staphylococcus aureus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	
GCA_021286105.1	SAMN24183502	Enterobacter hormaechei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_026183085.1	SAMN31538150	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Sus scrofa domesticus	9825		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_021379845.1	SAMN24691212	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_022763185.1	SAMN26879087	bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present				healthy	healthy/no disease reported		environmental material	
GCA_021308705.1	SAMN14969764	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported			
GCA_024164165.1	SAMN29507341	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_024760585.1	SAMN10390412	Burkholderia glumae	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Oryza sativa	4530		diseased	diseased		clinical/host-associated material	microbial isolate
GCA_025541655.1	SAMN18871332	Bacillota bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	feces/stool
GCA_025542435.1	SAMN18871293	Bacillota bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	feces/stool
GCA_025544395.1	SAMN18871193	Oscillospiraceae bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	feces/stool
GCA_028463435.1	SAMN26871954	Proteus mirabilis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_028463635.1	SAMN26871944	Proteus mirabilis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_030129975.1	SAMN31927176	Acinetobacter baumannii	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Poaceae	4479		healthy/control	healthy/no disease reported		environmental material	
GCA_057036185.1	SAMN50509631	Barnesiella intestinihominis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_021310075.1	SAMN14969750	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		subgingival plaque	
GCA_025021665.1	SAMN30282585	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_913776255.1	SAMEA8943744	uncultured Sphingomonas sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		clinical/host-associated material	DNA extract
GCA_033331545.1	SAMN33700682	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_033332635.1	SAMN33700623	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_001915655.1	SAMN05717229	Odoribacter sp. 43_10	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_003058995.1	SAMN08381288	Helicobacter pylori	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_003059065.1	SAMN08381284	Helicobacter pylori	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
